vehicle_id,zone,vehicle_type,battery_capacity_kWh,registration_date
EV-01369,Jayanagar,4W,45.3,2023-12-26
EV-01370,Jayanagar,2W,2.4,2024-10-31
EV-01371,Jayanagar,2W,3.1,2024-06-10
EV-01372,Jayanagar,3W,6.9,2024-12-16
EV-01373,Jayanagar,4W,50.4,2024-12-16
EV-01374,Jayanagar,2W,3.9,2024-05-24
EV-01375,Jayanagar,3W,9.8,2024-11-01
EV-01376,Jayanagar,2W,2.9,2024-03-10
EV-01377,Jayanagar,2W,3.8,2024-06-12
EV-01378,Jayanagar,3W,6.3,2024-05-15
EV-01379,Jayanagar,3W,6.8,2024-10-04
EV-01380,Jayanagar,2W,2.3,2024-10-07
EV-01381,Jayanagar,2W,2.5,2025-02-10
EV-01382,Jayanagar,2W,2.7,2025-04-09
EV-01383,Jayanagar,2W,3.8,2025-01-01
EV-01384,Jayanagar,4W,36.1,2024-09-20
EV-01385,Jayanagar,4W,72.4,2024-04-23
EV-01386,Jayanagar,3W,8.0,2024-12-24
EV-01387,Jayanagar,2W,3.9,2023-09-17
EV-01388,Jayanagar,2W,3.4,2025-04-15
EV-01389,Jayanagar,4W,44.5,2023-11-13
EV-01390,Jayanagar,4W,53.0,2025-03-02
EV-01391,Jayanagar,2W,2.9,2025-03-17
EV-01392,Jayanagar,2W,1.8,2024-11-09
EV-01393,Jayanagar,4W,58.7,2025-02-25
EV-01394,Jayanagar,4W,37.7,2024-12-02
EV-01395,Jayanagar,2W,1.7,2024-12-17
EV-01396,Jayanagar,3W,5.0,2025-03-13
EV-01397,Jayanagar,4W,62.4,2024-11-18
EV-01398,Jayanagar,3W,7.4,2024-02-01
EV-01399,Jayanagar,4W,72.4,2024-09-05
EV-01400,Jayanagar,3W,9.6,2024-06-28
EV-01401,Jayanagar,4W,71.7,2024-05-20
EV-01402,Jayanagar,3W,5.6,2024-12-13
EV-01403,Jayanagar,2W,1.8,2024-01-29
EV-01404,Jayanagar,4W,61.7,2024-06-16
EV-01405,Jayanagar,2W,2.3,2024-08-19
EV-01406,Jayanagar,4W,44.7,2024-11-30
EV-01407,Jayanagar,3W,7.5,2024-09-24
EV-01408,Jayanagar,2W,2.2,2024-10-11
EV-01409,Jayanagar,4W,47.1,2025-03-18
EV-01410,Jayanagar,2W,1.7,2024-07-07
EV-01411,Jayanagar,4W,63.0,2024-06-15
EV-01412,Jayanagar,3W,7.7,2024-05-03
EV-01413,Jayanagar,2W,2.2,2024-09-03
EV-01414,Jayanagar,2W,2.1,2024-03-16
EV-01415,Jayanagar,2W,3.3,2024-12-20
EV-01416,Jayanagar,2W,3.1,2024-10-19
EV-01417,Jayanagar,2W,2.0,2024-09-08
EV-01418,Jayanagar,4W,61.3,2024-11-18
EV-01419,Jayanagar,2W,3.1,2024-11-13
EV-01420,Jayanagar,3W,9.2,2025-05-01
EV-01421,Jayanagar,4W,35.1,2024-07-27
EV-01422,Jayanagar,4W,67.6,2024-10-05
EV-01423,Jayanagar,4W,48.9,2024-06-26
EV-01424,Jayanagar,4W,65.6,2025-04-03
EV-01425,Jayanagar,4W,33.4,2024-05-07
EV-01426,Jayanagar,2W,1.5,2023-08-15
EV-01427,Jayanagar,4W,71.1,2024-10-30
EV-01428,Jayanagar,4W,40.6,2025-04-13
EV-01429,Jayanagar,2W,3.2,2024-05-12
EV-01430,Jayanagar,2W,2.1,2024-08-04
EV-01431,Jayanagar,4W,63.9,2025-02-18
EV-01432,Jayanagar,2W,2.8,2024-10-26
EV-01433,Jayanagar,2W,3.9,2024-09-03
EV-01434,Jayanagar,4W,67.0,2024-09-17
EV-01435,Jayanagar,2W,3.3,2024-03-23
EV-01436,Jayanagar,2W,3.9,2025-01-17
EV-01437,Jayanagar,4W,36.6,2025-02-05
EV-01438,Jayanagar,4W,59.8,2024-07-11
EV-01439,Jayanagar,4W,71.7,2023-07-01
EV-01440,Jayanagar,4W,69.8,2024-07-26
EV-01441,Jayanagar,2W,3.0,2024-12-08
EV-01442,Jayanagar,2W,1.7,2024-04-23
EV-01443,Jayanagar,2W,3.1,2024-09-27
EV-01444,Jayanagar,3W,8.7,2024-07-12
EV-01445,Jayanagar,2W,3.0,2024-12-20
EV-01446,Jayanagar,2W,3.2,2025-03-14
EV-01447,Jayanagar,3W,7.0,2023-12-02
EV-01448,Jayanagar,2W,2.7,2024-04-16
EV-01449,Jayanagar,4W,64.9,2024-08-22
EV-01450,Jayanagar,2W,2.7,2024-12-24
EV-01451,Jayanagar,3W,9.8,2024-10-13
EV-01452,Jayanagar,2W,2.8,2024-11-08
EV-01453,Jayanagar,4W,54.0,2025-02-10
EV-01454,Jayanagar,3W,9.1,2025-01-14
EV-01455,Jayanagar,2W,2.3,2024-08-19
EV-01456,Jayanagar,2W,2.9,2024-08-11
EV-01457,Jayanagar,3W,5.6,2025-03-04
EV-01458,Jayanagar,3W,6.7,2024-08-22
EV-01459,Jayanagar,2W,1.6,2024-07-07
EV-01460,Jayanagar,2W,3.3,2025-03-14
EV-01461,Jayanagar,4W,68.7,2024-09-03
EV-01462,Jayanagar,2W,1.7,2024-01-23
EV-01463,Jayanagar,3W,9.4,2024-09-16
EV-01464,Jayanagar,2W,3.2,2024-12-23
EV-01465,Jayanagar,2W,1.6,2023-05-21
EV-01466,Jayanagar,2W,3.2,2024-12-26
EV-01467,Jayanagar,2W,1.9,2024-12-04
EV-01468,Jayanagar,4W,38.8,2024-07-02
EV-01469,Jayanagar,2W,1.6,2024-02-18
EV-01470,Jayanagar,4W,65.2,2024-01-02
EV-01471,Jayanagar,2W,2.9,2025-05-02
EV-01472,Jayanagar,2W,3.5,2025-05-13
EV-01473,Jayanagar,2W,3.6,2024-11-23
EV-01474,Jayanagar,2W,2.9,2024-04-03
EV-01475,Jayanagar,4W,39.7,2024-08-10
EV-01476,Jayanagar,2W,2.6,2023-11-06
EV-01477,Jayanagar,2W,2.1,2023-07-19
EV-01478,Jayanagar,2W,3.3,2025-01-31
EV-01479,Jayanagar,2W,3.9,2025-01-14
EV-01480,Jayanagar,2W,3.4,2024-03-12
EV-01481,Jayanagar,4W,30.8,2023-12-18
EV-01482,Jayanagar,4W,60.8,2024-02-11
EV-01483,Jayanagar,2W,3.8,2024-12-28
EV-01484,Jayanagar,2W,2.2,2024-04-06
EV-01485,Jayanagar,4W,72.6,2024-12-05
EV-01486,Jayanagar,4W,38.1,2025-02-28
EV-01487,Jayanagar,4W,50.9,2024-09-21
EV-01488,Jayanagar,2W,2.5,2024-09-06
EV-01489,Jayanagar,2W,2.0,2024-12-03
EV-01490,Jayanagar,2W,2.2,2024-09-30
EV-01491,Jayanagar,2W,1.8,2025-01-19
EV-01492,Jayanagar,4W,74.4,2024-11-03
EV-01493,Jayanagar,4W,56.8,2024-09-22
EV-01494,Jayanagar,4W,60.5,2025-04-14
EV-01495,Jayanagar,3W,8.9,2024-12-14
EV-01496,Jayanagar,4W,35.3,2024-10-16
EV-01497,Jayanagar,4W,68.7,2024-11-01
EV-01498,Jayanagar,2W,3.6,2025-02-15
EV-01499,Jayanagar,4W,32.5,2023-11-22
EV-01500,Jayanagar,3W,6.7,2024-05-21
EV-01501,Jayanagar,4W,61.2,2023-12-06
EV-01502,Jayanagar,2W,2.2,2024-09-14
EV-01503,Jayanagar,2W,1.6,2025-01-27
EV-01504,Jayanagar,3W,6.8,2024-03-16
EV-01505,Jayanagar,4W,38.3,2024-10-30
EV-01506,Jayanagar,4W,62.8,2024-11-19
EV-01507,Jayanagar,2W,1.6,2024-05-27
EV-01508,Jayanagar,2W,3.6,2025-03-17
EV-01509,Jayanagar,4W,50.3,2024-10-26
EV-01510,Jayanagar,2W,2.2,2025-02-14
EV-01511,Jayanagar,2W,2.6,2024-12-12
EV-01512,Jayanagar,4W,63.7,2024-12-22
EV-01513,Jayanagar,3W,7.2,2024-02-07
EV-01514,Jayanagar,2W,2.4,2024-08-28
EV-01515,Jayanagar,3W,7.9,2023-08-13
EV-01516,Jayanagar,4W,34.9,2025-01-15
EV-01517,Jayanagar,4W,32.7,2025-03-02
EV-01518,Jayanagar,4W,58.5,2023-10-31
EV-01519,Jayanagar,4W,55.1,2025-01-07
EV-01520,Jayanagar,3W,6.6,2024-04-05
EV-01521,Jayanagar,4W,72.6,2025-02-22
EV-01522,Jayanagar,2W,3.0,2024-05-08
EV-01523,Jayanagar,4W,64.2,2024-10-12
EV-01524,Jayanagar,3W,5.1,2024-10-12
EV-01525,Jayanagar,4W,30.4,2025-01-29
EV-01526,Jayanagar,4W,60.3,2025-04-09
EV-01527,Jayanagar,3W,5.5,2024-03-20
EV-01528,Jayanagar,2W,1.5,2025-01-20
EV-01529,Jayanagar,3W,7.4,2024-02-27
EV-01530,Jayanagar,2W,1.6,2025-04-02
EV-01531,Jayanagar,4W,63.8,2024-06-03
EV-01532,Jayanagar,4W,43.7,2024-07-08
EV-01533,Jayanagar,3W,7.8,2025-02-08
EV-01534,Jayanagar,4W,48.8,2025-02-18
EV-01535,Jayanagar,2W,3.6,2025-01-31
EV-01536,Jayanagar,2W,1.9,2024-10-26
EV-01537,Jayanagar,4W,40.0,2024-03-26
EV-01538,Jayanagar,2W,1.6,2025-02-01
EV-01539,Jayanagar,2W,3.0,2024-08-11
EV-01540,Jayanagar,4W,62.3,2024-05-01
EV-01541,Jayanagar,4W,40.5,2025-03-27
EV-01542,Jayanagar,2W,3.1,2024-08-31
EV-01543,Jayanagar,4W,47.9,2024-06-18
EV-01544,Jayanagar,4W,47.6,2024-12-16
EV-01545,Jayanagar,4W,48.8,2024-11-23
EV-01546,Jayanagar,3W,8.1,2024-07-07
EV-01547,Jayanagar,3W,7.6,2024-10-08
EV-01548,Jayanagar,2W,3.4,2024-12-29
EV-01549,Jayanagar,3W,6.9,2024-06-20
EV-01550,Jayanagar,4W,37.7,2023-08-09
EV-01551,Jayanagar,4W,40.2,2024-08-29
EV-01552,Jayanagar,2W,2.8,2024-03-01
EV-01553,Jayanagar,2W,3.5,2025-03-01
EV-01554,Jayanagar,2W,1.8,2024-11-25
EV-01555,Jayanagar,2W,2.9,2024-12-10
EV-01556,Jayanagar,2W,1.5,2024-08-31
EV-01557,Jayanagar,2W,2.8,2024-07-05
EV-01558,Jayanagar,3W,8.9,2024-03-18
EV-01559,Jayanagar,2W,2.7,2024-08-08
EV-01560,Jayanagar,2W,3.2,2024-12-10
EV-01561,Jayanagar,2W,3.0,2025-02-08
EV-01562,Jayanagar,4W,67.0,2023-08-03
EV-01563,Jayanagar,3W,6.9,2025-01-02
EV-01564,Jayanagar,4W,46.2,2023-12-01
EV-01565,Jayanagar,4W,34.9,2025-01-24
EV-01566,Jayanagar,2W,2.8,2025-01-09
EV-01567,Jayanagar,4W,69.3,2025-03-26
EV-01568,Jayanagar,2W,3.8,2025-02-15
EV-01569,Jayanagar,2W,3.3,2023-08-28
EV-01570,Jayanagar,2W,2.0,2024-03-20
EV-01571,Jayanagar,4W,62.0,2024-12-26
EV-01572,Jayanagar,4W,41.3,2025-02-06
EV-01573,Jayanagar,3W,5.7,2024-11-21
EV-01574,Jayanagar,4W,53.4,2024-10-29
EV-01575,Jayanagar,4W,49.6,2024-05-12
EV-01576,Jayanagar,4W,69.6,2024-03-07
EV-01577,Jayanagar,4W,46.4,2024-06-12
EV-01578,Jayanagar,2W,2.8,2024-09-20
EV-01579,Jayanagar,2W,3.7,2024-10-28
EV-01580,Jayanagar,4W,70.2,2024-12-05
EV-01581,Jayanagar,2W,3.4,2024-01-14
EV-01582,Jayanagar,2W,2.2,2024-10-30
EV-01583,Jayanagar,2W,3.0,2025-03-02
EV-01584,Jayanagar,2W,2.2,2024-12-29
EV-01585,Jayanagar,2W,2.6,2025-04-24
EV-01586,Jayanagar,2W,3.6,2025-03-09
EV-01587,Jayanagar,2W,2.8,2025-04-20
EV-01588,Jayanagar,4W,73.8,2024-02-24
EV-01589,Jayanagar,3W,10.0,2025-01-19
EV-01590,Jayanagar,2W,2.8,2024-06-02
EV-01591,Jayanagar,2W,3.5,2025-03-23
EV-01592,Jayanagar,2W,3.3,2024-08-25
EV-01593,Jayanagar,2W,2.1,2024-08-18
EV-01594,Jayanagar,4W,30.4,2024-01-10
EV-01595,Jayanagar,2W,2.1,2024-01-19
EV-01596,Jayanagar,3W,6.5,2024-05-26
EV-01597,Jayanagar,2W,2.6,2024-01-23
EV-01598,Jayanagar,3W,6.6,2024-05-29
EV-01599,Jayanagar,3W,8.7,2024-06-27
EV-01600,Jayanagar,2W,2.5,2024-06-11
EV-01601,Jayanagar,2W,3.4,2024-04-25
EV-01602,Jayanagar,2W,2.9,2024-03-03
EV-01603,Jayanagar,4W,70.7,2024-12-03
EV-01604,Jayanagar,2W,2.9,2024-12-18
EV-01605,Jayanagar,4W,43.9,2024-10-14
EV-01606,Jayanagar,4W,49.5,2024-11-13
EV-01607,Jayanagar,2W,2.4,2024-09-07
EV-01608,Jayanagar,3W,7.8,2025-05-01
EV-01609,Jayanagar,4W,36.3,2024-11-01
EV-01610,Jayanagar,4W,61.5,2024-04-07
EV-01611,Jayanagar,2W,2.0,2024-08-08
EV-01612,Jayanagar,4W,69.2,2024-08-30
EV-01613,Jayanagar,2W,2.4,2023-11-15
EV-01614,Jayanagar,2W,1.9,2025-02-03
EV-01615,Jayanagar,4W,59.4,2024-12-20
EV-01616,Jayanagar,3W,8.7,2024-09-15
EV-01617,Jayanagar,2W,3.4,2025-02-28
EV-01618,Jayanagar,3W,9.7,2024-12-01
EV-01619,Jayanagar,2W,2.8,2023-07-30
EV-01620,Jayanagar,4W,50.0,2025-02-25
EV-01621,Jayanagar,4W,34.5,2024-10-27
EV-01622,Jayanagar,2W,3.4,2024-11-12
EV-01623,Jayanagar,3W,9.8,2024-03-16
EV-01624,Jayanagar,3W,5.4,2025-02-05
EV-01625,Jayanagar,4W,38.7,2024-10-06
EV-01626,Jayanagar,4W,46.7,2024-07-11
EV-01627,Jayanagar,2W,3.0,2024-12-13
EV-01628,Jayanagar,3W,6.4,2024-12-22
EV-01629,Jayanagar,4W,40.4,2024-06-01
EV-01630,Jayanagar,2W,2.6,2024-04-15
EV-01631,Jayanagar,4W,57.5,2025-02-04
EV-01632,Jayanagar,2W,2.0,2024-06-12
EV-01633,Jayanagar,3W,7.9,2024-11-20
EV-01634,Jayanagar,3W,8.3,2024-05-06
EV-01635,Jayanagar,2W,3.3,2024-09-10
EV-01636,Jayanagar,4W,58.4,2025-05-01
EV-01637,Jayanagar,3W,8.5,2025-03-04
EV-01638,Jayanagar,2W,3.4,2025-01-26
EV-01639,Jayanagar,4W,61.8,2024-12-20
EV-01640,Jayanagar,4W,45.5,2025-02-20
EV-01641,Jayanagar,2W,2.4,2025-03-12
EV-01642,Jayanagar,2W,3.6,2024-10-15
EV-01643,Jayanagar,4W,64.1,2024-11-19
EV-01644,Jayanagar,2W,2.6,2025-01-05
EV-01645,Jayanagar,4W,52.8,2024-12-18
EV-01646,Jayanagar,2W,2.1,2024-08-02
EV-01647,Jayanagar,4W,51.4,2025-01-03
EV-01648,Jayanagar,2W,3.6,2024-06-29
EV-01649,Jayanagar,3W,6.9,2024-06-20
EV-01650,Jayanagar,4W,36.0,2024-11-15
EV-01651,Jayanagar,2W,2.8,2025-05-13
EV-01652,Jayanagar,3W,6.4,2024-12-21
EV-01653,Jayanagar,2W,3.8,2024-12-26
EV-01654,Jayanagar,3W,8.5,2024-10-09
EV-01655,Jayanagar,4W,34.1,2025-01-31
EV-01656,Jayanagar,2W,2.0,2024-10-01
EV-01657,Jayanagar,4W,59.5,2025-04-24
EV-01658,Jayanagar,4W,40.4,2024-08-29
EV-01659,Jayanagar,2W,2.7,2025-04-12
EV-01660,Jayanagar,2W,1.6,2025-02-17
EV-01661,Jayanagar,3W,9.4,2025-01-18
EV-01662,Jayanagar,2W,2.0,2024-07-09
EV-01663,Jayanagar,2W,3.2,2024-06-03
EV-01664,Jayanagar,4W,68.6,2023-12-22
EV-01665,Jayanagar,2W,2.8,2024-11-26
EV-01666,Jayanagar,2W,2.5,2025-03-19
EV-01667,Jayanagar,2W,3.8,2025-04-21
EV-01668,Jayanagar,3W,9.4,2025-02-04
EV-01669,Jayanagar,2W,3.7,2025-02-24
EV-01670,Jayanagar,3W,9.4,2024-04-09
EV-01671,Jayanagar,3W,7.7,2024-02-02
EV-01672,Jayanagar,4W,58.9,2024-02-19
EV-01673,Jayanagar,4W,73.2,2024-05-31
EV-01674,Jayanagar,4W,61.6,2024-09-12
EV-01675,Jayanagar,3W,5.7,2024-10-17
EV-01676,Jayanagar,4W,57.4,2025-03-08
EV-01677,Jayanagar,4W,46.6,2024-07-03
EV-01678,Jayanagar,2W,1.6,2025-02-03
EV-01679,Jayanagar,2W,3.0,2024-09-10
EV-01680,Jayanagar,2W,3.7,2025-01-11
EV-01681,Jayanagar,3W,6.3,2024-10-27
EV-01682,Jayanagar,3W,7.0,2024-11-13
EV-01683,Jayanagar,2W,2.5,2024-09-10
EV-01684,Jayanagar,3W,7.3,2024-03-15
EV-01685,Jayanagar,2W,3.3,2024-12-25
EV-01686,Jayanagar,2W,3.3,2024-12-10
EV-01687,Jayanagar,4W,58.9,2024-03-26
EV-01688,Jayanagar,4W,71.8,2024-11-13
EV-01689,Jayanagar,2W,2.4,2024-02-12
EV-01690,Jayanagar,4W,64.9,2024-08-23
EV-01691,Jayanagar,2W,2.3,2025-03-19
EV-01692,Jayanagar,4W,51.1,2025-01-12
EV-01693,Jayanagar,2W,3.6,2025-01-25
EV-01694,Jayanagar,2W,3.6,2024-06-13
EV-01695,Jayanagar,2W,2.7,2025-05-04
EV-01696,Jayanagar,4W,72.3,2024-07-29
EV-01697,Jayanagar,2W,3.3,2024-11-01
EV-01698,Jayanagar,4W,34.1,2024-07-07
EV-01699,Jayanagar,2W,2.0,2025-03-01
EV-01700,Jayanagar,2W,2.7,2024-11-20
EV-01701,Jayanagar,4W,70.6,2025-02-13
EV-01702,Jayanagar,2W,1.9,2024-06-02
EV-01703,Jayanagar,2W,2.6,2024-03-27
EV-01704,Jayanagar,2W,3.4,2025-01-09
EV-01705,Jayanagar,2W,2.6,2024-11-12
EV-01706,Jayanagar,2W,2.8,2024-05-31
EV-01707,Jayanagar,2W,3.7,2024-07-28
EV-01708,Jayanagar,3W,6.8,2024-04-23
EV-01709,Jayanagar,4W,70.6,2024-08-16
EV-01710,Jayanagar,4W,42.4,2024-11-26
EV-01711,Jayanagar,4W,70.3,2025-03-09
EV-01712,Jayanagar,2W,1.7,2025-02-13
EV-01713,Jayanagar,2W,3.0,2024-09-23
EV-01714,Jayanagar,4W,30.4,2024-11-29
EV-01715,Jayanagar,2W,3.3,2025-04-25
EV-01716,Jayanagar,2W,1.5,2025-02-12
EV-01717,Jayanagar,2W,2.0,2025-02-14
EV-01718,Jayanagar,4W,36.4,2024-12-09
EV-01719,Jayanagar,3W,9.8,2025-04-11
EV-01720,Jayanagar,4W,56.1,2024-11-24
EV-01721,Jayanagar,4W,31.2,2024-11-20
EV-01722,Jayanagar,2W,2.9,2025-01-03
EV-01723,Jayanagar,2W,1.9,2024-05-06
EV-01724,Jayanagar,4W,36.5,2024-08-18
EV-01725,Jayanagar,2W,3.0,2024-12-16
EV-01726,Indiranagar,4W,56.5,2025-02-12
EV-01727,Indiranagar,2W,3.3,2024-08-27
EV-01728,Indiranagar,4W,40.9,2025-02-01
EV-01729,Indiranagar,4W,51.0,2024-11-25
EV-01730,Indiranagar,4W,61.0,2024-04-23
EV-01731,Indiranagar,4W,48.3,2024-09-18
EV-01732,Indiranagar,4W,61.0,2023-12-21
EV-01733,Indiranagar,4W,49.0,2024-11-23
EV-01734,Indiranagar,3W,7.0,2024-08-14
EV-01735,Indiranagar,2W,2.3,2024-12-19
EV-01736,Indiranagar,4W,41.7,2024-11-24
EV-01737,Indiranagar,2W,3.2,2024-09-24
EV-01738,Indiranagar,4W,50.9,2024-12-31
EV-01739,Indiranagar,4W,65.4,2024-01-20
EV-01740,Indiranagar,3W,9.2,2024-12-31
EV-01741,Indiranagar,2W,3.1,2024-09-23
EV-01742,Indiranagar,2W,2.3,2024-10-27
EV-01743,Indiranagar,4W,31.4,2024-05-31
EV-01744,Indiranagar,2W,2.0,2025-02-22
EV-01745,Indiranagar,2W,3.6,2025-04-28
EV-01746,Indiranagar,2W,2.5,2024-10-22
EV-01747,Indiranagar,4W,43.2,2024-02-29
EV-01748,Indiranagar,2W,2.5,2024-06-05
EV-01749,Indiranagar,3W,9.2,2025-01-01
EV-01750,Indiranagar,4W,47.2,2024-10-21
EV-01751,Indiranagar,4W,68.5,2024-05-04
EV-01752,Indiranagar,3W,8.4,2024-04-19
EV-01753,Indiranagar,3W,8.5,2025-01-12
EV-01754,Indiranagar,3W,9.7,2024-07-28
EV-01755,Indiranagar,4W,60.6,2024-10-10
EV-01756,Indiranagar,2W,3.6,2025-03-10
EV-01757,Indiranagar,4W,41.9,2024-09-27
EV-01758,Indiranagar,2W,2.6,2024-10-06
EV-01759,Indiranagar,4W,71.3,2024-07-23
EV-01760,Indiranagar,4W,62.2,2024-07-26
EV-01761,Indiranagar,4W,60.5,2024-06-01
EV-01762,Indiranagar,4W,65.9,2025-02-20
EV-01763,Indiranagar,2W,3.6,2024-03-01
EV-01764,Indiranagar,2W,2.5,2024-12-01
EV-01765,Indiranagar,2W,3.5,2024-10-29
EV-01766,Indiranagar,3W,6.4,2025-01-23
EV-01767,Indiranagar,4W,71.0,2024-08-20
EV-01768,Indiranagar,4W,58.1,2025-02-24
EV-01769,Indiranagar,2W,2.4,2025-02-03
EV-01770,Indiranagar,2W,3.7,2025-03-05
EV-01771,Indiranagar,4W,58.3,2024-12-28
EV-01772,Indiranagar,4W,61.0,2024-01-27
EV-01773,Indiranagar,4W,31.7,2025-01-24
EV-01774,Indiranagar,2W,1.9,2025-01-01
EV-01775,Indiranagar,3W,5.3,2024-12-24
EV-01776,Indiranagar,3W,8.9,2025-02-01
EV-01777,Indiranagar,4W,70.6,2025-03-01
EV-01778,Indiranagar,2W,1.9,2025-04-01
EV-01779,Indiranagar,2W,3.2,2025-03-27
EV-01780,Indiranagar,4W,41.4,2025-05-01
EV-01781,Indiranagar,2W,2.0,2024-08-25
EV-01782,Indiranagar,3W,7.2,2024-11-04
EV-01783,Indiranagar,2W,2.3,2024-03-11
EV-01784,Indiranagar,2W,2.1,2024-11-12
EV-01785,Indiranagar,2W,2.5,2024-10-30
EV-01786,Indiranagar,3W,8.5,2024-02-26
EV-01787,Indiranagar,4W,41.6,2024-06-03
EV-01788,Indiranagar,2W,1.8,2025-01-29
EV-01789,Indiranagar,3W,8.6,2024-08-31
EV-01790,Indiranagar,3W,7.1,2024-11-11
EV-01791,Indiranagar,3W,5.7,2024-09-14
EV-01792,Indiranagar,4W,74.8,2025-01-28
EV-01793,Indiranagar,3W,7.8,2024-10-01
EV-01794,Indiranagar,4W,49.6,2024-03-21
EV-01795,Indiranagar,4W,37.4,2024-10-07
EV-01796,Indiranagar,4W,54.0,2025-01-25
EV-01797,Indiranagar,2W,1.5,2024-09-10
EV-01798,Indiranagar,2W,3.8,2024-08-25
EV-01799,Indiranagar,4W,55.4,2024-04-04
EV-01800,Indiranagar,4W,71.0,2024-07-01
EV-01801,Indiranagar,2W,3.1,2024-08-29
EV-01802,Indiranagar,4W,67.2,2024-08-26
EV-01803,Indiranagar,4W,52.1,2024-02-14
EV-01804,Indiranagar,2W,2.9,2024-07-22
EV-01805,Indiranagar,3W,6.7,2024-07-14
EV-01806,Indiranagar,4W,60.7,2024-11-09
EV-01807,Indiranagar,3W,7.1,2024-07-11
EV-01808,Indiranagar,4W,71.2,2024-09-02
EV-01809,Indiranagar,2W,1.7,2025-01-20
EV-01810,Indiranagar,2W,2.7,2025-01-07
EV-01811,Indiranagar,2W,2.5,2024-01-11
EV-01812,Indiranagar,3W,5.5,2024-06-07
EV-01813,Indiranagar,4W,45.0,2024-12-26
EV-01814,Indiranagar,2W,3.2,2024-09-26
EV-01815,Indiranagar,3W,9.6,2025-01-04
EV-01816,Indiranagar,4W,34.5,2024-03-20
EV-01817,Indiranagar,2W,3.1,2024-09-17
EV-01818,Indiranagar,3W,6.4,2025-02-09
EV-01819,Indiranagar,2W,1.9,2025-01-11
EV-01820,Indiranagar,4W,33.6,2024-04-13
EV-01821,Indiranagar,2W,3.7,2024-08-18
EV-01822,Indiranagar,4W,68.1,2024-03-16
EV-01823,Indiranagar,2W,1.7,2024-01-22
EV-01824,Indiranagar,3W,7.2,2024-02-26
EV-01825,Indiranagar,3W,9.4,2024-11-18
EV-01826,Indiranagar,2W,3.1,2024-11-25
EV-01827,Indiranagar,2W,2.5,2024-03-20
EV-01828,Indiranagar,2W,3.1,2024-08-26
EV-01829,Indiranagar,2W,1.8,2024-08-14
EV-01830,Indiranagar,2W,2.3,2024-04-20
EV-01831,Indiranagar,2W,1.9,2024-09-13
EV-01832,Indiranagar,3W,5.1,2025-02-14
EV-01833,Indiranagar,2W,1.7,2024-08-06
EV-01834,Indiranagar,3W,6.4,2023-09-28
EV-01835,Indiranagar,4W,63.4,2024-02-24
EV-01836,Indiranagar,4W,43.6,2024-10-30
EV-01837,Indiranagar,2W,1.8,2024-08-07
EV-01838,Indiranagar,2W,2.7,2025-01-27
EV-01839,Indiranagar,3W,8.0,2024-08-21
EV-01840,Indiranagar,4W,60.2,2024-06-20
EV-01841,Indiranagar,2W,1.8,2024-08-24
EV-01842,Indiranagar,4W,57.1,2023-12-24
EV-01843,Indiranagar,4W,31.3,2024-06-28
EV-01844,Indiranagar,3W,5.7,2024-08-01
EV-01845,Indiranagar,2W,2.5,2024-10-25
EV-01846,Indiranagar,2W,2.4,2025-03-30
EV-01847,Indiranagar,2W,2.4,2024-10-30
EV-01848,Indiranagar,4W,51.8,2024-07-05
EV-01849,Indiranagar,2W,1.7,2025-01-11
EV-01850,Indiranagar,2W,3.0,2024-04-06
EV-01851,Indiranagar,2W,3.5,2024-10-08
EV-01852,Indiranagar,4W,35.9,2025-03-04
EV-01853,Indiranagar,2W,3.0,2024-03-12
EV-01854,Indiranagar,4W,34.6,2024-01-18
EV-01855,Indiranagar,3W,6.7,2024-12-18
EV-01856,Indiranagar,4W,35.0,2024-10-03
EV-01857,Indiranagar,4W,45.0,2024-12-26
EV-01858,Indiranagar,3W,9.0,2024-09-03
EV-01859,Indiranagar,4W,74.2,2025-04-11
EV-01860,Indiranagar,2W,1.6,2024-06-11
EV-01861,Indiranagar,2W,3.8,2024-05-24
EV-01862,Indiranagar,4W,60.2,2025-04-09
EV-01863,Indiranagar,2W,2.2,2024-08-02
EV-01864,Indiranagar,2W,2.6,2024-05-30
EV-01865,Indiranagar,4W,52.1,2024-08-13
EV-01866,Indiranagar,3W,6.7,2025-01-04
EV-01867,Indiranagar,4W,37.8,2024-12-01
EV-01868,Indiranagar,2W,3.2,2024-01-08
EV-01869,Indiranagar,4W,49.4,2024-12-10
EV-01870,Indiranagar,4W,65.3,2025-02-19
EV-01871,Indiranagar,4W,45.4,2024-10-09
EV-01872,Indiranagar,2W,3.1,2025-04-15
EV-01873,Indiranagar,4W,37.0,2025-03-31
EV-01874,Indiranagar,2W,2.8,2024-10-04
EV-01875,Indiranagar,3W,8.9,2024-05-28
EV-01876,Indiranagar,2W,3.6,2024-11-18
EV-01877,Indiranagar,2W,2.4,2024-12-26
EV-01878,Indiranagar,4W,53.7,2024-10-23
EV-01879,Indiranagar,3W,7.3,2025-04-07
EV-01880,Indiranagar,2W,3.2,2024-06-04
EV-01881,Indiranagar,2W,3.0,2024-03-03
EV-01882,Indiranagar,3W,7.1,2024-11-14
EV-01883,Indiranagar,4W,36.4,2024-09-12
EV-01884,Indiranagar,2W,3.9,2025-01-29
EV-01885,Indiranagar,4W,50.6,2025-03-25
